mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
200.074.466.994.227,6,45.211.423.179.061.200,250.0,3.503.032.605.885.600,1.741.220.259.428.530,74,3,car_36
8.0,8,500.0,250.0,4.266.171.345.645.960,17.673.434.098.376.300,76,3,car_37
26.924.197.357.594.100,4,32.208.789.800.665.700,20.831.231.642.169.000,256.883.801.401.693,1.792.571.290.169.230,73,3,car_38
14.941.543.954.265.700,6,500.0,250.0,36.868.365.980.750.800,16.608.079.964.450.200,75,3,car_39
16.400.756.171.411.900,6,3.743.617.302.761.040,250.0,3.241.353.832.204.520,13.295.316.338.977.300,82,1,car_40
3.075.814.966.041.680,6,30.327.288.594.296.500,250.0,24.700.400.861.371.600,2.407.100.732.295.490,74,1,car_41
2.425.083.161.846.170,6,29.646.473.962.430.900,1.986.139.502.246.400,25.947.192.584.520.600,19.512.378.189.455.000,72,2,car_42
3.588.000.808.542.580,4,22.922.723.390.759.900,250.0,19.483.275.959.519.500,19.178.392.687.960.500,77,1,car_43
891.775.070.427.276,8,500.0,250.0,4.478.324.549.241.130,14.148.273.567.740.000,76,2,car_44
13.719.737.314.974.000,8,48.703.793.622.191.600,250.0,38.343.094.354.168.800,13.654.847.986.033.500,80,1,car_45
29.643.417.292.755.300,8,3.203.869.521.562.050,19.387.434.745.642.400,256.631.426.551.389,2.051.364.507.862.870,70,2,car_46
29.668.168.917.658.300,4,27.783.128.769.059.800,250.0,23.666.164.303.167.400,1.765.379.641.442.960,81,1,car_47
1.730.343.248.784.740,8,4.360.385.288.102.610,250.0,34.275.497.733.207.500,1.893.564.398.039.790,79,1,car_48
2.603.621.982.924.110,6,3.207.984.911.124.710,250.0,2.726.915.470.665.830,13.716.634.128.230.700,80,3,car_49
3.209.846.824.103.780,6,3.579.044.801.179.600,23.839.859.342.644.000,22.737.532.277.461.400,22.866.811.304.183.700,75,3,car_50
30.207.449.149.248.100,4,2.653.290.082.216.730,21.700.299.850.389.000,2.108.075.414.608.250,21.096.056.891.620.000,75,1,car_51
266.762.228.185.192,6,3.384.406.187.457.830,250.0,2.686.926.456.232.970,175.698.854.654.731,74,1,car_52
18.263.994.139.427.000,6,35.010.779.433.663.800,250.0,2.773.019.311.995.470,19.129.856.943.273.200,80,2,car_53
2.133.221.085.093.190,6,3.544.705.412.041.850,250.0,26.603.789.399.317.900,20.062.634.138.672.600,70,1,car_54
15.637.469.521.655.000,8,45.752.001.787.679.300,250.0,38.413.847.107.236.000,12.647.673.638.032.900,76,2,car_55
23.784.652.175.495.100,4,360.995.804.905.478,250.0,27.870.774.744.894.300,22.746.403.199.674.300,73,3,car_56
21.742.789.439.417.800,6,35.403.832.911.505.400,250.0,2.872.361.512.934.830,1.907.742.148.131.400,78,1,car_57
3.606.175.726.072.510,4,2.268.934.511.027.620,19.161.767.488.633.900,18.077.148.808.792.200,1.657.997.825.652.260,82,1,car_58
31.061.459.584.863.600,4,24.616.103.703.417.900,24.516.832.998.362.800,20.693.611.378.441.900,15.140.863.892.162.100,78,1,car_59
26.727.064.806.349.500,4,28.500.988.765.439.100,179.956.769.631.964,25.662.712.610.159.000,20.895.021.963.136.200,70,1,car_60
25.636.034.843.496.700,4,3.097.130.303.620.080,17.530.308.290.941.700,2.516.725.013.938.740,1.861.675.257.774.220,75,2,car_61
252.847.207.982.888,4,2.610.743.596.812.390,24.953.808.992.050.500,22.568.742.827.262.100,1.969.092.842.607.000,70,1,car_62
35.452.988.106.049.600,4,2.632.354.092.549.180,1.728.473.257.675.750,21.348.573.084.072.600,18.445.136.355.261.500,76,3,car_63
30.983.509.944.107.700,4,2.850.733.513.931.740,21.287.964.836.993.200,21.793.851.723.600.900,15.312.383.760.111.700,72,2,car_64
22.025.984.625.005.700,6,4.157.625.466.618.920,250.0,32.977.888.659.831.500,18.728.064.503.801.100,79,1,car_65
30.021.050.502.810.100,4,29.196.753.495.228.800,20.823.353.507.815.900,22.790.318.033.337.400,17.628.362.779.214.800,76,2,car_66
3.628.043.175.027.530,4,244.236.401.086.672,13.705.855.934.034.000,2.067.523.635.077.280,183.674.029.854.433,74,1,car_67
3.251.490.358.577.840,4,2.661.703.301.142.160,1.901.551.605.819.840,21.506.930.493.675.600,25.480.315.067.749.100,81,1,car_68
30.107.651.402.398.700,4,3.021.499.323.109.120,250.0,22.583.465.419.749.000,20.848.860.871.319.200,79,2,car_69
31.307.880.867.225.700,4,2.833.976.289.909.620,226.560.845.608.371,22.227.885.791.050.500,21.057.506.150.168.700,78,1,car_70
14.617.566.506.073.400,8,500.0,250.0,3.694.816.660.184.780,2.496.675.272.212.780,74,1,car_71
22.663.443.485.866.600,6,34.164.636.386.544.300,250.0,2.696.250.273.193.460,18.957.471.343.346.800,73,1,car_72
41.833.608.335.958.400,4,17.159.607.662.656.200,1.733.907.009.325.260,1500.0,1.935.912.260.934.790,77,1,car_73
27.825.120.257.670.800,6,31.934.504.396.586.200,23.514.156.015.894.800,29.164.499.918.040.800,1.554.592.796.002.210,80,2,car_74
4.017.173.426.905.860,4,22.951.604.706.556.300,9.927.054.563.141.460,21.058.187.886.933.900,17.036.525.636.624.500,80,3,car_75
1.760.429.754.083.430,6,44.550.846.095.985.600,250.0,3.357.252.768.149.570,11.001.435.932.205.700,80,2,car_76
14.173.377.560.553.300,8,45.437.695.882.320.500,250.0,3.675.369.554.452,19.195.900.461.967.700,70,3,car_77
2.358.857.457.575.700,4,3.392.133.220.318.600,24.900.109.712.871.900,27.575.686.390.793.000,13.941.668.368.989.400,82,2,car_78
27.045.844.938.920.300,4,32.094.295.326.562.100,250.0,2.521.456.155.572.010,2.068.675.179.029.520,73,1,car_79
27.969.612.806.981.300,6,32.224.463.901.645.200,22.376.802.370.496.800,25.446.194.071.553.700,178.263.025.419.629,70,3,car_80
3.628.644.257.277.190,4,20.424.772.685.315.700,19.022.725.399.721.900,15.631.918.661.668.200,1.932.098.427.812.620,77,1,car_81
23.110.252.202.616.900,4,2.763.123.900.906.600,250.0,25.850.408.181.019.400,17.787.855.391.464.800,75,1,car_82
20.520.844.973.210.800,6,4.147.047.412.490.680,250.0,3.234.401.079.305.760,21.423.822.207.343.100,71,3,car_83
2.222.938.621.582.920,6,2.764.855.427.688.310,21.212.911.077.414.400,2.280.071.770.870.500,2.184.825.530.893.870,72,2,car_84
3.195.719.678.350.820,4,3.196.152.679.457.570,250.0,20.511.161.168.202.200,18.362.209.666.215.900,72,3,car_85
2.703.165.285.095.670,6,270.241.767.015.198,250.0,2.326.647.812.801.550,15.476.339.957.958.500,75,1,car_86
28.678.728.802.335.700,4,2.935.393.487.461.430,250.0,25.851.657.514.196.300,20.686.501.564.576.400,79,3,car_87
3.125.002.734.203.260,4,3.259.139.988.616.430,250.0,23.969.059.850.730.200,1.517.936.910.068.110,78,1,car_88
16.461.887.900.796.600,6,500.0,250.0,3.897.622.649.982.310,11.937.793.476.663.100,70,1,car_89
21.817.069.111.673.900,6,36.417.258.306.058.400,250.0,300.368.136.850.995,1.899.136.823.695.320,72,3,car_90
2.846.692.170.670.080,6,2.834.279.345.848.220,20.340.207.025.932.900,22.713.156.155.610.700,21.884.154.149.848.600,77,1,car_91
20.076.678.483.772.600,6,3.689.262.692.877.780,250.0,30.446.840.724.060.700,162.400.604.242.123,80,2,car_92
25.191.173.820.559.000,6,3.731.915.591.894.960,2.169.003.427.128.090,29.280.842.606.010.100,18.785.468.804.103.200,70,3,car_93
10.964.827.852.705.400,8,42.342.475.231.985.600,250.0,3.760.051.095.969.150,15.492.927.468.817.700,74,3,car_94
2.993.781.428.143.050,6,34.531.924.633.134.400,250.0,2.628.605.944.222.950,20.037.374.101.834.500,71,1,car_95
2.861.043.799.835.820,4,24.069.317.105.335.900,20.214.612.705.944.200,24.638.603.110.365.100,2.132.122.874.820.010,76,1,car_96
16.814.271.662.554.500,6,432.653.933.548.182,250.0,37.096.162.518.552.800,16.001.788.104.698.600,75,3,car_97
29.825.666.159.386.600,4,23.279.575.187.895.700,18.842.926.103.953.300,20.287.890.725.085.200,15.388.401.454.323.800,72,2,car_98
27.117.953.561.481.700,6,33.630.036.103.258.200,1.921.339.253.410.110,2.482.307.361.389.200,13.646.600.830.776.100,82,2,car_99
28.544.191.418.660.800,4,25.047.053.009.289.000,16.382.011.807.923.300,21.857.007.174.821.100,2.109.136.457.989.860,79,1,car_100
27.234.910.760.405.800,5,3.341.273.264.091.970,250.0,2.793.806.297.409.700,14.296.494.227.466.800,77,1,car_101
3.481.158.272.598.500,6,2.788.031.972.890.270,22.676.234.821.836.900,1.806.503.497.777.630,19.809.569.225.829.400,79,3,car_102
33.585.657.675.393.200,6,2.916.475.665.329.970,250.0,20.522.604.708.197.300,2.077.996.073.450.780,74,2,car_103
25.703.536.624.995.400,4,32.824.677.159.998.300,250.0,26.974.997.580.829.600,162.985.946.062.654,82,3,car_104
3.353.946.078.991.070,4,25.905.949.730.450.400,24.445.221.679.471.200,2.045.816.034.102.870,17.955.551.415.357.200,75,1,car_105
32.314.972.667.104.400,6,2.720.667.193.419.120,20.896.805.178.742.900,20.732.381.128.251.300,21.423.892.229.695.100,75,1,car_106
9.953.237.637.404.300,8,500.0,250.0,4.215.789.838.891.090,13.859.628.799.104.600,77,2,car_107
29.031.812.445.885.400,4,32.405.310.418.622,22.340.555.830.108.400,2.415.668.975.805.890,15.355.196.209.091.800,77,3,car_108
3.656.288.640.490.670,4,23.365.116.776.241.300,22.565.270.658.168.000,17.781.611.534.960.900,18.018.665.182.876.600,78,1,car_109
34.422.363.023.563.600,4,2.726.047.623.971.550,20.678.705.379.142.900,20.514.321.415.738.500,22.282.305.844.655.200,80,1,car_110
413.939.755.532.176,5,25.530.644.450.186.400,14.632.541.936.307.000,21.444.854.075.908.600,23.187.707.876.219.900,73,2,car_111
3.445.321.012.134.560,4,32.212.139.495.931.700,250.0,2.233.079.519.710.330,17.970.571.418.967.400,79,1,car_112
1.562.833.199.069.960,8,4.205.014.343.534.630,250.0,32.644.771.044.576.200,15.099.158.011.407.900,72,1,car_113
27.317.606.015.594.900,6,35.587.700.913.640.400,250.0,25.024.630.289.586.900,21.189.880.818.800.000,73,2,car_114
3.380.263.075.020.130,4,2.314.717.932.627.550,24.768.790.461.994.200,17.891.992.510.536.600,1.370.291.400.396.490,76,1,car_115
4.140.712.632.405.680,4,21.609.837.457.345.100,1.066.410.630.858.990,18.733.967.985.391.100,1.936.943.576.390.510,76,2,car_116
20.977.384.357.022.500,4,3.681.500.445.203.050,24.664.830.614.518.900,30.933.796.552.118.600,1.727.487.956.627.050,78,1,car_117
2.123.266.661.067.900,6,4.265.406.531.059.060,250.0,32.668.055.582.937.500,21.114.677.972.279.300,71,2,car_118
24.540.494.635.309.400,5,2.793.761.927.526.110,20.867.039.876.498.100,23.416.739.326.040.700,2.234.338.168.631.100,80,3,car_119
27.248.202.775.461.400,4,29.094.886.638.284.900,20.607.375.766.391.000,2.290.558.246.613.800,1.538.185.607.954.430,77,3,car_120
1.980.412.347.720.970,6,44.155.549.405.486.900,250.0,380.466.094.705.464,17.198.373.159.370.200,77,2,car_121
31.541.828.360.942.600,4,28.421.170.102.809.800,2.062.257.425.092.640,2.247.701.035.929.990,1.654.048.593.734.530,79,2,car_122
17.731.921.937.263.400,6,4.787.252.841.078.800,250.0,32.351.928.004.063.900,16.384.825.044.873.300,79,1,car_123
11.477.815.160.634.400,8,500.0,250.0,41.789.362.017.421.900,1.817.322.712.193.170,75,1,car_124
3.029.886.201.190.960,4,278.151.281.364.451,19.581.954.979.270.600,21.333.904.110.677.900,17.361.927.222.656.400,76,1,car_125
38.946.886.486.409.600,4,20.404.135.919.935.300,15.899.236.090.672.400,15.774.908.831.649.400,1.950.428.548.641.910,73,2,car_126
1.486.733.076.017.200,8,41.811.596.809.046.100,250.0,34.121.124.391.717.900,19.959.704.056.667.400,77,1,car_127
4.089.395.251.197.540,4,15.837.453.931.887.700,7.847.481.478.470.040,1500.0,23.545.485.171.387.700,72,1,car_128
22.189.552.169.575.800,4,36.525.373.696.275.300,250.0,29.369.606.106.777.500,1.842.907.982.375.060,78,2,car_129
31.558.091.617.162.800,6,285.433.283.486.349,250.0,23.903.656.668.678.900,1.846.293.055.425.250,75,2,car_130
14.511.659.190.361.300,6,4.827.540.931.240.050,250.0,39.348.455.828.846.500,13.243.283.938.669.800,73,1,car_131
15.434.172.591.922.000,8,500.0,250.0,3.880.213.749.793.310,21.377.181.612.538.800,76,1,car_132
3.378.637.481.437.980,5,23.995.344.962.933.400,1.663.016.219.940.290,21.180.139.897.389.200,19.869.089.213.745.500,82,2,car_133
341.035.929.677.342,5,29.243.100.140.097.000,22.246.805.215.346.600,21.399.488.213.585.700,187.687.265.521.015,77,3,car_134
22.279.331.082.538.100,4,36.834.892.511.075.400,250.0,2.821.687.074.410.370,17.933.460.592.179.700,74,2,car_135
3.339.365.568.289.960,4,2.686.958.312.127.740,12.369.719.428.928.200,21.223.663.625.967.600,19.459.594.058.068.900,75,1,car_136
23.675.166.612.849.300,6,36.716.092.934.061.300,250.0,29.963.811.065.792.800,19.818.990.363.062.900,77,3,car_137
3.702.344.923.335.130,4,21.429.644.062.114.900,20.080.178.928.669.000,16.494.628.612.979.900,2.153.718.872.909.370,71,1,car_138
31.709.642.960.139.700,4,26.235.101.038.049.400,16.434.959.301.701.500,23.445.254.628.442.700,2.298.788.022.457.550,77,1,car_139
25.258.814.292.838.400,4,3.312.534.385.646.590,250.0,270.908.475.123.751,1.851.898.077.430.030,70,1,car_140
3.227.829.605.746.660,4,29.126.564.352.517.700,24.809.208.565.076.900,2.345.256.740.941.390,23.417.346.916.854.800,81,1,car_141
3.537.828.188.105.030,5,281.062.760.083.803,16.667.691.085.654.200,23.005.293.124.950.500,21.372.640.525.952.600,77,2,car_142
1.174.307.416.705.050,6,47.457.124.462.020.800,250.0,3.943.151.143.154.000,16.376.454.713.337.500,71,2,car_143
21.432.108.801.368.100,4,33.238.079.198.773.800,2.412.068.228.701.290,27.072.013.145.301.100,12.790.677.500.139.900,76,3,car_144
19.788.866.169.706.100,6,43.239.281.555.466.100,250.0,30.972.391.578.074.700,17.659.447.635.083.400,81,2,car_145
1.990.126.559.909.600,4,35.246.645.383.032.800,250.0,30.376.334.034.484.000,22.137.800.011.222.500,82,1,car_146
3.550.552.489.368.410,4,25.092.085.405.416.800,2.166.942.405.942.610,2.031.301.874.048.570,16.142.908.735.554.700,71,2,car_147
13.631.538.077.492.600,8,500.0,250.0,4.136.970.561.444.340,16.610.417.380.943.300,73,2,car_148
14.385.486.599.658.500,8,4.573.589.374.351.600,250.0,35.776.827.942.746.500,1.741.797.393.369.060,71,2,car_149
28.768.535.186.173.200,4,332.595.328.041.468,21.903.365.887.653.400,22.954.193.151.143.600,21.030.960.460.379.200,74,1,car_150
31.435.771.441.056.900,4,28.366.752.135.759.400,22.570.394.573.154.600,18.135.582.468.858.900,1.752.300.710.976.420,81,2,car_151
1.480.468.188.752.240,8,500.0,250.0,3.811.126.442.128.440,14.080.722.312.505.600,79,2,car_152
11.553.120.457.741.300,6,500.0,250.0,410.345.884.737.151,18.106.547.606.299.600,73,1,car_153
26.391.399.290.095.900,4,32.082.029.179.466.000,250.0,282.614.052.535.014,15.443.698.417.537.000,74,3,car_154
31.994.136.160.662.400,4,2.687.333.462.023.110,24.220.273.096.664.400,2.210.261.014.673.670,1.278.322.292.889.990,77,1,car_155
3.479.589.721.441.260,4,2.681.758.128.997.010,250.0,19.349.610.213.227.700,2.408.615.475.196.080,77,1,car_156
2.040.946.942.435.250,6,37.429.717.204.338.000,250.0,2.837.552.547.618.310,20.443.539.438.794.300,76,2,car_157
23.644.366.510.120.000,6,3.162.217.406.129.800,23.101.709.840.195.000,28.019.305.446.340.700,23.348.232.811.617.400,75,3,car_158
31.473.341.928.306.100,4,32.658.448.398.215.200,24.712.347.853.542.400,23.505.196.977.489.100,20.771.518.561.297.600,82,2,car_159
263.699.121.125.936,4,28.983.447.613.102.700,16.777.812.459.129.400,27.390.303.853.510.900,1.980.206.437.972.620,76,2,car_160
27.286.713.075.391.500,4,2.575.057.397.288.630,1.450.612.669.492.500,2.435.253.422.995.830,1.917.335.347.726.520,80,3,car_161
1.074.353.970.232.850,6,4.940.873.763.451.340,250.0,4.379.643.424.735.050,15.562.271.730.578.100,82,1,car_162
10.475.434.537.495.000,8,500.0,250.0,40.761.402.974.968.800,179.601.794.482.184,74,1,car_163
2.244.521.368.834.670,6,4.181.803.553.864.670,250.0,32.771.378.795.720.400,1.556.316.466.730.560,80,2,car_164
21.053.595.516.524.900,6,3.843.459.393.633.890,250.0,31.460.367.681.374.200,14.146.275.714.424.900,80,1,car_165
34.619.752.694.967.600,4,2.267.759.799.900.080,16.493.167.988.250.000,19.959.248.301.304.500,1.750.739.771.910.630,72,2,car_166
23.761.461.492.599.900,6,42.085.084.433.486.400,250.0,3.236.651.573.520.850,2.113.782.530.053.330,72,3,car_167
37.307.457.829.507.200,4,19.097.289.819.366.800,15.519.677.075.499.400,1500.0,15.302.779.939.224.200,72,1,car_168
38.164.825.799.859.700,4,2.600.650.245.412.110,17.611.327.246.608.100,20.237.328.975.235.500,14.826.717.150.076.100,78,1,car_169
221.002.197.890.722,5,38.032.507.221.409.600,250.0,2.888.139.022.206.290,1.938.578.846.593.210,79,1,car_170
28.142.533.952.391.700,6,27.952.022.176.371.900,250.0,24.843.390.698.398.200,16.770.424.816.850.100,79,2,car_171
2.779.411.901.764.770,4,34.347.567.907.176.400,2.183.412.057.544.550,26.245.195.298.282.500,1.933.196.560.565.010,75,2,car_172
19.266.464.751.221.900,5,40.068.065.945.846.400,250.0,32.245.735.689.871.800,20.244.998.726.651.100,79,3,car_173
10.556.595.259.175.100,8,47.915.052.468.021,250.0,40.298.123.015.632.400,17.854.785.151.210.300,70,2,car_174
3.522.388.891.867.610,6,2.142.461.186.498.030,14.173.938.320.783.600,1.969.937.411.267.590,16.633.325.852.697.000,78,3,car_175
29.384.807.578.411.500,5,25.377.083.935.496.200,250.0,2.071.878.571.210.640,2.227.692.285.437.510,76,1,car_176
4.171.929.849.029.240,4,21.469.120.170.873.900,17.672.381.690.506.300,17.943.888.609.925.600,20.931.979.186.817.900,80,1,car_177
2.532.000.077.047.040,6,3.503.894.132.227.300,250.0,25.997.171.802.811.500,17.980.766.382.287.500,82,1,car_178
2.586.906.769.695.350,4,34.502.733.931.591.800,250.0,29.648.300.439.121.200,1.747.042.151.439.250,77,3,car_179
324.057.262.988.682,4,2.565.968.393.998.350,24.024.708.203.304.000,23.054.793.636.581.300,1.931.649.825.477.280,78,1,car_180
3.890.943.480.051.940,4,25.577.424.098.899.000,17.655.521.375.305.400,16.721.233.134.281.000,17.891.925.585.796.900,82,1,car_181
22.414.867.750.899.100,4,3.320.871.440.980.110,24.443.571.650.076.800,3.009.286.316.891.210,12.597.099.598.948.600,74,1,car_182
2.479.910.732.349.130,6,3.728.333.278.493.770,250.0,2.842.534.729.420.950,19.907.938.509.364.000,71,1,car_183
25.851.870.004.039.400,6,34.950.922.871.551.800,21.895.181.135.279.900,29.150.000.073.512.000,19.657.229.052.262.300,76,2,car_184
24.078.865.722.483.500,4,35.871.477.474.220.000,250.0,2.885.230.542.900.780,10.711.571.560.009.000,74,3,car_185
880.387.921.561.206,8,500.0,250.0,3.987.924.830.777.880,18.044.103.597.193.800,78,1,car_186
14.384.176.850.342.000,6,4.255.385.101.948.300,250.0,33.630.044.859.032.600,22.406.446.130.765.800,80,2,car_187
24.557.076.107.852.500,6,4.230.065.139.465.500,250.0,3.185.539.445.167.690,13.931.545.495.311.600,76,1,car_188
24.551.800.715.392.800,4,28.135.827.403.455.400,18.283.655.275.027.000,2.355.631.794.406.030,17.924.494.332.921.800,74,1,car_189
2.573.657.517.239.180,4,34.930.908.811.483.300,250.0,2.737.263.771.167.520,172.167.892.864.303,77,1,car_190
17.567.545.449.763.500,6,4.640.481.769.581.460,250.0,34.505.009.514.002.900,22.030.734.851.712.300,75,2,car_191
3.252.045.717.948.360,6,28.339.443.827.562.000,250.0,2.060.154.568.515.150,21.802.686.563.955.700,72,2,car_192
27.718.231.773.490.800,4,3.251.493.253.947.390,2.021.599.289.742.550,2.342.705.350.419.630,1.552.204.621.004.300,80,2,car_193
2.997.260.101.366.890,5,32.110.135.765.973.400,2.148.388.397.997.200,24.638.927.512.174.600,1.906.246.281.885.810,74,3,car_194
26.715.325.716.851.800,4,3.181.189.593.965.130,250.0,2.641.971.536.858.570,24.766.044.859.974,77,1,car_195
34.932.559.981.492.700,4,3.241.525.685.988.050,250.0,2.450.996.938.670.660,1.617.487.936.390.590,81,2,car_196
2.954.113.622.515.470,4,2.885.802.615.363.820,19.888.366.182.516.000,2.503.730.403.638.380,1.796.280.824.538.360,72,2,car_197
274.276.191.541.589,4,3.605.174.696.468.270,250.0,28.602.968.612.911.400,19.180.225.049.171.700,75,1,car_198
25.684.245.089.452.200,4,3.146.679.590.469.300,20.648.046.139.519.800,245.946.268.800.717,16.210.373.662.835.000,72,1,car_199
15.176.707.434.521.300,8,500.0,250.0,40.033.530.860.592.100,21.786.256.168.919.000,75,1,car_200
23.761.959.527.801.500,6,3.344.553.925.475.200,24.856.608.207.587.500,29.546.741.267.314.200,16.127.320.972.418.000,73,1,car_201
30.873.987.457.336.300,4,3.135.379.579.577.310,250.0,2.234.035.925.273.380,14.098.858.687.354.000,81,1,car_202
29.887.431.022.901.800,4,26.546.521.990.618.900,2.157.179.600.138.560,2.454.995.153.533.340,1.647.005.872.971.770,73,1,car_203
21.973.879.694.167.500,5,4.123.955.689.532.160,250.0,34.911.965.734.106.500,1.896.786.368.514.780,77,3,car_204
3.753.717.656.118.930,4,23.583.516.798.798.700,15.056.947.180.509.300,18.823.500.448.964.200,16.223.127.577.840.800,71,3,car_205
19.657.034.546.513.400,6,35.845.761.201.227.300,250.0,31.042.660.330.522.100,18.302.332.133.549.000,75,2,car_206
3.233.314.108.479.340,5,27.275.408.057.617.900,16.705.443.583.607.500,21.175.380.741.945.600,20.070.113.246.230.400,80,2,car_207
14.071.461.984.007.800,8,500.0,250.0,4.057.135.675.065.390,12.816.062.198.695.600,78,3,car_208
4.081.498.728.545.890,4,22.735.422.958.942.800,1.132.714.002.673.520,171.055.093.520.708,17.098.342.412.010.200,73,1,car_209
8.0,8,500.0,250.0,4.193.295.032.777.050,17.353.617.545.837.100,82,2,car_210
29.454.431.340.861.500,6,32.258.355.536.572.500,250.0,24.392.173.218.786.600,20.168.019.158.131.800,80,2,car_211
1.287.513.120.336.920,6,46.477.185.603.271.800,250.0,37.079.012.904.613.900,15.175.746.650.235.600,75,3,car_212
2.296.497.843.320.090,8,3.661.548.622.444.860,250.0,30.650.666.616.209.200,17.890.250.269.123.100,82,3,car_213
3.306.569.252.150.980,5,23.367.443.528.044.500,14.500.294.255.938.900,2.079.033.410.541.190,17.569.157.840.221.500,72,1,car_214
4.040.417.753.798.770,4,20.641.165.076.367.700,13.573.727.084.420.700,1500.0,2.118.355.051.240.170,74,2,car_215
2.097.428.718.872.000,5,3.584.676.899.570.700,250.0,3.018.369.166.680.630,1.903.987.157.081.610,82,1,car_216
